task,hash,cost,points,n_nodes,status,ops,dsl_rule
62,2bcee788,2536,17.16165668444288,43,baseline,ReduceMax:6;Where:6;Add:6;ArgMax:5;Cast:4;Pad:4;Or:3;Slice:2;Equal:2;Greater:2;Gather:2;Less:1,"x1 = mostcolor(I) | x2 = objects(I, T, F, T) | x3 = replace(I, x1, THREE) | x4 = argmax(x2, size) | x5 = argmin(x2, size) | x6 = position(x4, x5) | x7 = first(x6) | x8 = last(x6) | x9 = subgrid(x4, x3) | x10 = hline(x5) | x11 = hmirror(x9) | x12 = vmirror(x9) | x13 = branch(x10, x11, x12) | x14 = br"
63,2bee17df,2011,17.393612610227347,16,baseline,Conv:2;Slice:2;Equal:2;Cast:2;And:2;ReduceSum:1;Sqrt:1;Sub:1;Or:1;Pad:1;Where:1,"x1 = height(I) | x2 = rot90(I) | x3 = subtract(x1, TWO) | x4 = interval(ZERO, x1, ONE) | x5 = rbind(colorcount, ZERO) | x6 = matcher(x5, x3) | x7 = rbind(vsplit, x1) | x8 = lbind(apply, x6) | x9 = compose(x8, x7) | x10 = x9(I) | x11 = pair(x4, x10) | x12 = sfilter(x11, last) | x13 = mapply(hfrontier"
64,2c608aff,13436,15.494307049267817,71,baseline,Cast:13;Slice:9;Gather:9;ArgMax:9;Where:5;ReduceSum:4;And:4;ReduceMax:2;Min:2;Max:2;GreaterOrEqual:2;LessOrEqual:2;TopK:1;Mul:1;Equal:1;Sub:1;Unsqueeze:1;OneHot:1;Or:1;Pad:1,"x1 = leastcolor(I) | x2 = objects(I, T, F, T) | x3 = argmax(x2, size) | x4 = toindices(x3) | x5 = ofcolor(I, x1) | x6 = prapply(connect, x4, x5) | x7 = fork(either, vline, hline) | x8 = mfilter(x6, x7) | O = underfill(I, x1, x8)"
65,2dc579da,641,18.53697054307933,28,baseline,Where:5;Einsum:4;Equal:4;Cast:2;Mod:2;Less:2;Pad:2;BitwiseAnd:2;Sqrt:1;Add:1;Mul:1;ReduceMax:1;Unsqueeze:1,"x1 = vsplit(I, TWO) | x2 = rbind(hsplit, TWO) | x3 = mapply(x2, x1) | O = argmax(x3, numcolors)"
66,2dd70a9a,18380,15.180981604090322,234,baseline,And:51;Or:24;Greater:18;Equal:17;Where:16;Cast:14;ReduceMax:13;Slice:10;Less:10;Squeeze:9;Sub:9;Add:5;GatherElements:5;Unsqueeze:4;Pad:4;ArgMax:4;ReduceMin:3;Expand:3;Transpose:2;Min:2;Max:2;CumSum:2;Mul:2;Concat:2;Not:1;Einsum:1;LessOrEqual:1,"x1 = ofcolor(I, TWO) | x2 = ofcolor(I, THREE) | x3 = vline(x1) | x4 = vline(x2) | x5 = center(x1) | x6 = branch(x4, uppermost, rightmost) | x7 = x6(x1) | x8 = x6(x2) | x9 = greater(x7, x8) | x10 = both(x4, x9) | x11 = branch(x10, lowermost, uppermost) | x12 = x11(x2) | x13 = branch(x4, leftmost, rig"
67,2dee498d,47,21.14985239828994,4,baseline,ReduceSum:1;Greater:1;Pad:1;Where:1,"x1 = hsplit(I, THREE) | O = first(x1)"
68,31aa019c,623,18.565453481212547,14,baseline,Einsum:3;Cast:3;Add:2;ScatterElements:2;BitwiseAnd:2;Equal:1;Where:1,"x1 = leastcolor(I) | x2 = ofcolor(I, x1) | x3 = first(x2) | x4 = neighbors(x3) | x5 = astuple(TEN, TEN) | x6 = canvas(ZERO, x5) | x7 = initset(x3) | x8 = fill(x6, x1, x7) | O = fill(x8, TWO, x4)"
69,321b1fc6,3912,16.72819596884529,77,baseline,Unsqueeze:16;Sub:10;Cast:9;ArgMax:9;ReduceMax:5;Concat:5;Gather:4;Squeeze:4;Pad:4;Slice:3;Equal:2;Add:2;Where:2;Conv:1;Max:1,"x1 = objects(I, F, F, T) | x2 = colorfilter(x1, EIGHT) | x3 = difference(x1, x2) | x4 = first(x3) | x5 = cover(I, x4) | x6 = normalize(x4) | x7 = lbind(shift, x6) | x8 = apply(ulcorner, x2) | x9 = mapply(x7, x8) | O = paint(x5, x9)"
70,32597951,3008,16.99096931493027,11,baseline,ReduceMax:2;Slice:1;Cast:1;Gather:1;ReduceMin:1;ScatterElements:1;And:1;Xor:1;Pad:1;Where:1,"x1 = ofcolor(I, EIGHT) | x2 = delta(x1) | O = fill(I, THREE, x2)"
71,3345333e,2698,17.0997339632323,30,baseline,Add:6;Reshape:3;Cast:3;ArgMax:3;Slice:2;Gather:2;Concat:2;Pad:2;Less:1;ReduceMin:1;ArgMin:1;Mod:1;And:1;Where:1;Equal:1,"x1 = leastcolor(I) | x2 = ofcolor(I, x1) | x3 = cover(I, x2) | x4 = leastcolor(x3) | x5 = ofcolor(x3, x4) | x6 = neighbors(ORIGIN) | x7 = mapply(neighbors, x6) | x8 = vmirror(x5) | x9 = lbind(shift, x8) | x10 = apply(x9, x7) | x11 = rbind(intersection, x5) | x12 = compose(size, x11) | x13 = argmax(x"
72,3428a4f5,421,18.957367166317617,5,baseline,Slice:2;Equal:1;Where:1;Pad:1,"x1 = tophalf(I) | x2 = bottomhalf(I) | x3 = astuple(SIX, FIVE) | x4 = ofcolor(x1, TWO) | x5 = ofcolor(x2, TWO) | x6 = combine(x4, x5) | x7 = intersection(x4, x5) | x8 = difference(x6, x7) | x9 = canvas(ZERO, x3) | O = fill(x9, THREE, x8)"
73,3618c87e,40,21.311120545886062,1,baseline,Conv:1,"x1 = objects(I, T, F, T) | x2 = sizefilter(x1, ONE) | x3 = merge(x2) | O = move(I, x3, TWO_BY_ZERO)"
74,3631a71a,9050,15.889479963306028,8,baseline,Gather:2;Max:2;Conv:1;Cast:1;Transpose:1;Equal:1,"x1 = shape(I) | x2 = replace(I, NINE, ZERO) | x3 = lbind(apply, maximum) | x4 = dmirror(x2) | x5 = papply(pair, x2, x4) | x6 = apply(x3, x5) | x7 = subtract(x1, TWO_BY_TWO) | x8 = crop(x6, TWO_BY_TWO, x7) | x9 = vmirror(x8) | x10 = objects(x9, T, F, T) | x11 = merge(x10) | x12 = shift(x11, TWO_BY_TW"
75,363442ee,1487,17.695484053539843,12,baseline,Concat:3;Cast:2;Einsum:1;Reshape:1;Slice:1;Where:1;DepthToSpace:1;Pad:1;Equal:1,"x1 = ofcolor(I, ONE) | x2 = crop(I, ORIGIN, THREE_BY_THREE) | x3 = asobject(x2) | x4 = lbind(shift, x3) | x5 = compose(x4, decrement) | x6 = mapply(x5, x1) | O = paint(I, x6)"
76,36d67576,19811,15.106007382025673,136,baseline,Cast:21;Equal:15;Unsqueeze:13;Where:8;Sub:8;And:7;Or:7;Reshape:7;Gather:7;Add:6;Concat:5;Not:4;TopK:4;Clip:4;MaxPool:3;Div:3;Mod:3;Conv:2;Mul:2;Greater:1;ArgMax:1;ReduceMax:1;Squeeze:1;ScatterElements:1;Slice:1;Pad:1,"x1 = objects(I, F, F, T) | x2 = argmax(x1, numcolors) | x3 = astuple(TWO, FOUR) | x4 = rbind(contained, x3) | x5 = compose(x4, first) | x6 = rbind(sfilter, x5) | x7 = lbind(rbind, subtract) | x8 = lbind(occurrences, I) | x9 = lbind(lbind, shift) | x10 = compose(x7, ulcorner) | x11 = chain(x10, x6, n"
77,36fdfd69,14874,15.392629998736755,32,baseline,Where:9;MaxPool:9;Less:5;And:3;Cast:2;Slice:1;QLinearConv:1;Xor:1;Pad:1,"x1 = upscale(I, TWO) | x2 = objects(x1, T, T, T) | x3 = colorfilter(x2, TWO) | x4 = fork(manhattan, first, last) | x5 = lbind(greater, FIVE) | x6 = compose(x5, x4) | x7 = product(x3, x3) | x8 = sfilter(x7, x6) | x9 = apply(merge, x8) | x10 = mapply(delta, x9) | x11 = fill(x1, FOUR, x10) | x12 = merg"
78,3906de3d,1293,17.835279621228143,11,baseline,Slice:2;ReduceL1:2;Less:2;Add:1;Xor:1;Not:1;Concat:1;Pad:1,"x1 = rot270(I) | x2 = rbind(order, identity) | x3 = switch(x1, ONE, TWO) | x4 = apply(x2, x3) | x5 = switch(x4, ONE, TWO) | O = cmirror(x5)"
79,39a8645d,3143,16.94706696320243,40,baseline,Slice:11;Cast:7;Equal:3;MaxPool:2;And:2;Pad:2;Add:2;Reshape:2;Conv:1;Min:1;Flatten:1;TopK:1;ArgMax:1;GatherElements:1;Div:1;Mod:1;Concat:1,"x1 = objects(I, T, T, T) | x2 = totuple(x1) | x3 = apply(color, x2) | x4 = mostcommon(x3) | x5 = matcher(color, x4) | x6 = extract(x1, x5) | O = subgrid(x6, I)"
80,39e1d7f9,17136,15.25106320731247,67,baseline,Cast:16;Mul:6;Greater:5;Equal:4;Gather:4;And:4;Where:4;Reshape:3;QLinearConv:3;ReduceMax:3;ArgMax:2;Add:2;Or:2;Conv:1;ReduceSum:1;Not:1;ReduceMin:1;Min:1;Div:1;Floor:1;Sub:1;LessOrEqual:1,"x1 = fgpartition(I) | x2 = objects(I, T, F, T) | x3 = order(x1, height) | x4 = last(x3) | x5 = remove(x4, x3) | x6 = last(x5) | x7 = color(x6) | x8 = colorfilter(x2, x7) | x9 = power(outbox, TWO) | x10 = rbind(toobject, I) | x11 = mostcolor(I) | x12 = lbind(remove, x11) | x13 = chain(size, x12, pale"
81,3aa6fb7a,464,18.860115447773744,4,baseline,QLinearConv:2;Slice:1;Cast:1,"x1 = objects(I, T, F, T) | x2 = mapply(corners, x1) | O = underfill(I, ONE, x2)"
82,3ac3eb23,190,19.752975927839515,1,baseline,Conv:1,"x1 = objects(I, T, F, T) | x2 = chain(ineighbors, last, first) | x3 = fork(recolor, color, x2) | x4 = mapply(x3, x1) | x5 = paint(I, x4) | x6 = vsplit(x5, THREE) | x7 = first(x6) | x8 = vconcat(x7, x7) | O = vconcat(x7, x8)"
83,3af2c5a8,447,18.89744140538643,9,baseline,Cast:2;Gather:2;Slice:1;ReduceMax:1;ArgMax:1;Where:1;ScatterElements:1,"x1 = vmirror(I) | x2 = hconcat(I, x1) | x3 = hmirror(x2) | O = vconcat(x2, x3)"
84,3bd67248,2038,17.38027578621733,8,baseline,ReduceSum:2;Cast:2;Less:1;Add:1;Mul:1;ScatterElements:1,"x1 = height(I) | x2 = decrement(x1) | x3 = decrement(x2) | x4 = astuple(x3, ONE) | x5 = astuple(x2, ONE) | x6 = shoot(x4, UP_RIGHT) | x7 = shoot(x5, RIGHT) | x8 = fill(I, TWO, x6) | O = fill(x8, FOUR, x7)"
85,3bdb4ada,5381,16.409370490510582,3,baseline,Conv:1;Cast:1;Where:1,"x1 = objects(I, T, F, T) | x2 = totuple(x1) | x3 = compose(increment, ulcorner) | x4 = compose(decrement, lrcorner) | x5 = apply(x3, x2) | x6 = apply(x4, x2) | x7 = papply(connect, x5, x6) | x8 = apply(last, x5) | x9 = compose(last, first) | x10 = power(last, TWO) | x11 = fork(subtract, x9, x10) | x"
86,3befdf3e,3136,16.9492966185297,26,baseline,Cast:4;Add:3;Where:3;Slice:2;Less:2;Gather:2;GatherND:1;ReduceSum:1;And:1;Xor:1;QLinearConv:1;Greater:1;GlobalAveragePool:1;TopK:1;Pad:1;Equal:1,"x1 = objects(I, F, F, T) | x2 = leastcolor(I) | x3 = palette(I) | x4 = remove(ZERO, x3) | x5 = other(x4, x2) | x6 = switch(I, x2, x5) | x7 = compose(width, inbox) | x8 = lbind(power, outbox) | x9 = compose(x8, x7) | x10 = initset(x9) | x11 = lbind(rapply, x10) | x12 = chain(initset, first, x11) | x1"
87,3c9b0459,5,23.3905620875659,1,baseline,RoiAlign:1,O = rot180(I)
88,3de23699,1872,17.465237342962464,44,baseline,Cast:8;Sub:8;Einsum:4;Mul:4;Add:4;Div:4;Concat:3;Equal:2;Sqrt:2;ReduceSum:1;ArgMax:1;Slice:1;Where:1;Pad:1,"x1 = fgpartition(I) | x2 = sizefilter(x1, FOUR) | x3 = first(x2) | x4 = difference(x1, x2) | x5 = first(x4) | x6 = color(x3) | x7 = color(x5) | x8 = subgrid(x3, I) | x9 = trim(x8) | O = replace(x9, x7, x6)"
89,3e980e27,7252,16.110967428125257,71,baseline,Cast:11;Add:8;Reshape:7;Where:7;ArgMax:6;Equal:5;ScatterElements:4;ReduceMax:4;Gather:4;Concat:4;Pad:2;Div:2;Mul:2;And:2;Conv:1;Or:1;MaxPool:1,"x1 = objects(I, F, T, T) | x2 = astuple(TEN, TEN) | x3 = invert(x2) | x4 = astuple(TWO, x3) | x5 = astuple(THREE, x3) | x6 = initset(x4) | x7 = insert(x5, x6) | x8 = insert(x7, x1) | x9 = lbind(contained, TWO) | x10 = lbind(contained, THREE) | x11 = compose(invert, ulcorner) | x12 = lbind(compose, x"
90,3eda0437,3091,16.963750057867884,448,baseline,Add:155;Mul:155;Where:49;Greater:20;Cast:11;And:11;Min:10;ReduceMax:10;ArgMax:10;Split:6;Concat:5;Sub:3;Less:2;Slice:1,"x1 = interval(TWO, TEN, ONE) | x2 = prapply(astuple, x1, x1) | x3 = lbind(canvas, ZERO) | x4 = lbind(occurrences, I) | x5 = lbind(lbind, shift) | x6 = fork(apply, x5, x4) | x7 = chain(x6, asobject, x3) | x8 = mapply(x7, x2) | x9 = argmax(x8, size) | O = fill(I, SIX, x9)"
91,3f7978a0,3028,16.98434238544266,54,baseline,Cast:10;Unsqueeze:9;Concat:7;Add:5;Squeeze:4;Sub:4;Slice:4;Gather:3;Where:2;Conv:1;TopK:1;ArgMax:1;And:1;Pad:1;Equal:1,"x1 = fgpartition(I) | x2 = matcher(color, FIVE) | x3 = extract(x1, x2) | x4 = ulcorner(x3) | x5 = subtract(x4, DOWN) | x6 = shape(x3) | x7 = add(x6, TWO_BY_ZERO) | O = crop(I, x5, x7)"
92,40853293,6992,16.147478082664627,88,baseline,Cast:25;Reshape:10;Where:9;GatherElements:7;Sub:6;Einsum:4;Mul:4;TopK:3;ScatterElements:3;ReduceMax:2;Add:2;Sqrt:2;Greater:2;GreaterOrEqual:2;LessOrEqual:2;And:2;Expand:2;Equal:1,"x1 = partition(I) | x2 = fork(recolor, color, backdrop) | x3 = apply(x2, x1) | x4 = mfilter(x3, hline) | x5 = mfilter(x3, vline) | x6 = paint(I, x4) | O = paint(x6, x5)"
93,4093f84a,3559,16.822765114489805,50,baseline,Where:13;Cast:9;Less:6;QLinearMatMul:4;Unsqueeze:4;Slice:3;ArgMax:2;ReduceMax:2;Add:2;Transpose:2;Or:1;Pad:1;Equal:1,"x1 = leastcolor(I) | x2 = replace(I, x1, FIVE) | x3 = ofcolor(I, FIVE) | x4 = portrait(x3) | x5 = branch(x4, identity, dmirror) | x6 = x5(x2) | x7 = lefthalf(x6) | x8 = righthalf(x6) | x9 = rbind(order, identity) | x10 = rbind(order, invert) | x11 = apply(x9, x7) | x12 = apply(x10, x8) | x13 = hconc"
94,41e4d17e,2709,17.095665157914905,17,baseline,Cast:3;Greater:3;AveragePool:2;Conv:2;Pad:2;Concat:2;Slice:1;Max:1;Where:1,"x1 = objects(I, T, F, T) | x2 = fork(combine, vfrontier, hfrontier) | x3 = compose(x2, center) | x4 = mapply(x3, x1) | O = underfill(I, SIX, x4)"
95,4258a5f9,345,19.15645558296864,3,baseline,Slice:1;QuantizeLinear:1;ConvInteger:1,"x1 = ofcolor(I, FIVE) | x2 = mapply(neighbors, x1) | O = fill(I, ONE, x2)"
96,4290ef0e,8893,15.90698027060036,117,baseline,Where:17;Cast:16;Add:11;Sub:9;ArgMax:8;Equal:7;Gather:6;Greater:5;Less:5;Div:5;Unsqueeze:4;Mul:4;ScatterElements:4;ReduceSum:3;ReduceMax:3;Slice:2;Max:2;TopK:1;And:1;Min:1;Mod:1;LessOrEqual:1;Pad:1,"x1 = mostcolor(I) | x2 = fgpartition(I) | x3 = objects(I, T, F, T) | x4 = rbind(valmax, width) | x5 = lbind(colorfilter, x3) | x6 = compose(x5, color) | x7 = compose(double, x4) | x8 = lbind(prapply, manhattan) | x9 = fork(x8, identity, identity) | x10 = lbind(remove, ZERO) | x11 = compose(x10, x9) "
97,42a50994,910,18.186555400489105,1,baseline,Conv:1,"x1 = objects(I, T, T, T) | x2 = sizefilter(x1, ONE) | x3 = merge(x2) | O = cover(I, x3)"
98,4347f46a,900,18.197605236675688,1,baseline,Conv:1,"x1 = objects(I, T, F, T) | x2 = fork(difference, toindices, box) | x3 = mapply(x2, x1) | O = fill(I, ZERO, x3)"
99,444801d8,1911,17.444618055759726,63,baseline,Max:14;Min:8;ReduceMax:7;Gather:7;Cast:5;Mul:4;Reshape:3;Concat:3;Slice:2;ArgMax:2;Add:2;Split:1;GatherND:1;Sub:1;ScatterElements:1;Pad:1;Equal:1,"x1 = objects(I, T, F, T) | x2 = colorfilter(x1, ONE) | x3 = rbind(toobject, I) | x4 = chain(leastcolor, x3, delta) | x5 = rbind(shift, UP) | x6 = compose(x5, backdrop) | x7 = fork(recolor, x4, x6) | x8 = mapply(x7, x2) | O = underpaint(I, x8)"
100,445eab21,543,18.702890680066066,22,baseline,Mul:5;Cast:3;Einsum:2;Sub:2;ReduceSum:1;Max:1;Div:1;Slice:1;ArgMax:1;Add:1;Equal:1;Unsqueeze:1;Expand:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = fork(multiply, height, width) | x3 = argmax(x1, x2) | x4 = color(x3) | O = canvas(x4, TWO_BY_TWO)"
101,447fd412,17755,15.215577554622811,341,baseline,And:48;Add:47;Cast:32;Gather:30;Reshape:28;Mul:23;Where:22;Less:17;GreaterOrEqual:16;Sub:12;Equal:11;Or:9;ReduceSum:8;Concat:7;ArgMax:6;Slice:4;Greater:4;TopK:3;Div:3;Mod:3;Not:3;ReduceMax:2;ScatterElements:1;Xor:1;Pad:1,"x1 = objects(I, F, T, T) | x2 = argmax(x1, numcolors) | x3 = normalize(x2) | x4 = lbind(matcher, first) | x5 = compose(x4, mostcolor) | x6 = fork(sfilter, identity, x5) | x7 = fork(difference, identity, x6) | x8 = lbind(rbind, upscale) | x9 = interval(ONE, FOUR, ONE) | x10 = apply(x8, x9) | x11 = lb"
102,44d8ac46,2527,17.165211892611808,13,baseline,QLinearConv:4;MaxPool:3;Cast:2;Slice:1;Max:1;Pad:1;Where:1,"x1 = objects(I, T, F, T) | x2 = apply(delta, x1) | x3 = mfilter(x2, square) | O = fill(I, TWO, x3)"
103,44f52bb0,60,20.9056554377779,7,baseline,Slice:2;Equal:1;ReduceMin:1;Not:1;Concat:1;Pad:1,"x1 = vmirror(I) | x2 = equality(x1, I) | x3 = branch(x2, ONE, SEVEN) | O = canvas(x3, UNITY)"
104,4522001f,254,19.462665732981463,8,baseline,Gather:2;GatherND:1;MatMul:1;Cast:1;Resize:1;Pad:1;ConvInteger:1,"x1 = objects(I, F, F, T) | x2 = first(x1) | x3 = toindices(x2) | x4 = contained(ZERO_BY_TWO, x3) | x5 = contained(TWO_BY_TWO, x3) | x6 = contained(TWO_BY_ZERO, x3) | x7 = astuple(NINE, NINE) | x8 = canvas(ZERO, x7) | x9 = astuple(THREE, ORIGIN) | x10 = initset(x9) | x11 = upscale(x10, TWO) | x12 = u"
105,4612dd53,2960,17.007055452681893,82,baseline,Cast:14;Equal:9;Where:8;Or:8;Add:5;ArgMax:5;And:5;LessOrEqual:4;GreaterOrEqual:3;Slice:2;Sub:2;ReduceMax:2;Not:2;Less:2;Mod:2;BitwiseXor:2;ReduceSum:1;MatMul:1;Greater:1;Gather:1;Squeeze:1;Concat:1;Pad:1,"x1 = ofcolor(I, ONE) | x2 = box(x1) | x3 = fill(I, TWO, x2) | x4 = subgrid(x1, x3) | x5 = ofcolor(x4, ONE) | x6 = mapply(vfrontier, x5) | x7 = mapply(hfrontier, x5) | x8 = size(x6) | x9 = size(x7) | x10 = greater(x8, x9) | x11 = branch(x10, x7, x6) | x12 = fill(x4, TWO, x11) | x13 = ofcolor(x12, TWO"
106,46442a0e,869,18.23265687473461,12,baseline,Cast:4;Gather:3;Slice:1;Conv:1;Reshape:1;Where:1;ScatterElements:1,"x1 = rot90(I) | x2 = rot180(I) | x3 = rot270(I) | x4 = hconcat(I, x1) | x5 = hconcat(x3, x2) | O = vconcat(x4, x5)"
107,469497ad,4078,16.6866380488656,32,baseline,Gather:6;Cast:4;Slice:3;ScatterND:3;GatherND:2;Equal:2;ReduceSum:2;MatMul:1;Squeeze:1;Not:1;Less:1;Where:1;Sub:1;Concat:1;Expand:1;Mul:1;Add:1,"x1 = numcolors(I) | x2 = decrement(x1) | x3 = upscale(I, x2) | x4 = objects(x3, F, F, T) | x5 = argmin(x4, size) | x6 = ulcorner(x5) | x7 = llcorner(x5) | x8 = shoot(x6, NEG_UNITY) | x9 = shoot(x6, UNITY) | x10 = shoot(x7, DOWN_LEFT) | x11 = shoot(x7, UP_RIGHT) | x12 = combine(x8, x9) | x13 = combin"
108,46f33fce,971,18.121673531708673,4,baseline,Conv:1;Equal:1;Cast:1;Resize:1,"x1 = rot180(I) | x2 = downscale(x1, TWO) | x3 = rot180(x2) | O = upscale(x3, FOUR)"
109,47c1f68c,1779,17.516193312334167,25,baseline,Where:5;Cast:3;Gather:3;Slice:2;Concat:2;GatherND:1;ReduceSum:1;Add:1;Sub:1;Less:1;Greater:1;Unsqueeze:1;ArgMax:1;Pad:1;Equal:1,"x1 = leastcolor(I) | x2 = vmirror(I) | x3 = objects(I, T, T, T) | x4 = merge(x3) | x5 = mostcolor(x4) | x6 = cellwise(I, x2, x1) | x7 = hmirror(x6) | x8 = cellwise(x6, x7, x1) | x9 = compress(x8) | O = replace(x9, x1, x5)"
110,484b58aa,13787,15.468518601828372,66,baseline,Where:13;MaxPool:9;Equal:8;Cast:6;Pad:5;Slice:5;Add:5;Squeeze:4;Conv:2;ReduceMax:2;Mod:2;Gather:2;Or:1;And:1;Concat:1,"x1 = height(I) | x2 = width(I) | x3 = partition(I) | x4 = colorfilter(x3, ZERO) | x5 = difference(x3, x4) | x6 = merge(x5) | x7 = astuple(x1, TWO) | x8 = astuple(TWO, x2) | x9 = power(decrement, TWO) | x10 = x9(x1) | x11 = x9(x2) | x12 = toivec(x11) | x13 = tojvec(x10) | x14 = crop(I, x12, x8) | x15"
111,48d8fb45,535,18.717733253103994,12,baseline,Sub:2;MaxPool:1;Gather:1;Cast:1;Squeeze:1;Div:1;Mod:1;Concat:1;Add:1;Slice:1;Pad:1,"x1 = objects(I, T, T, T) | x2 = matcher(size, ONE) | x3 = extract(x1, x2) | x4 = lbind(adjacent, x3) | x5 = extract(x1, x4) | O = subgrid(x5, I)"
112,4938f0c2,1774,17.519007837130474,37,baseline,Concat:9;Sub:6;Cast:4;Gather:4;Einsum:2;Mul:2;Unsqueeze:2;Slice:2;Reshape:2;Add:1;GatherND:1;Pad:1;Where:1,"x1 = objects(I, T, T, T) | x2 = ofcolor(I, TWO) | x3 = vmirror(x2) | x4 = height(x2) | x5 = width(x2) | x6 = toivec(x4) | x7 = tojvec(x5) | x8 = add(x7, ZERO_BY_TWO) | x9 = add(x6, TWO_BY_ZERO) | x10 = shift(x3, x8) | x11 = fill(I, TWO, x10) | x12 = ofcolor(x11, TWO) | x13 = hmirror(x12) | x14 = shi"
113,496994bd,30,21.598802618337846,1,baseline,Gather:1,"x1 = width(I) | x2 = height(I) | x3 = halve(x2) | x4 = astuple(x3, x1) | x5 = crop(I, ORIGIN, x4) | x6 = hmirror(x5) | O = vconcat(x5, x6)"
114,49d1d64f,900,18.197605236675688,1,baseline,Conv:1,"x1 = shape(I) | x2 = add(x1, TWO) | x3 = canvas(ZERO, x2) | x4 = asobject(I) | x5 = shift(x4, UNITY) | x6 = paint(x3, x5) | x7 = asindices(x3) | x8 = fork(difference, box, corners) | x9 = x8(x7) | x10 = lbind(lbind, manhattan) | x11 = rbind(compose, initset) | x12 = chain(x11, x10, initset) | x13 = "
115,4be741c5,1043,18.050143544999226,35,baseline,Where:6;Cast:4;Sub:3;Einsum:2;Div:2;Greater:2;ReduceMin:2;ReduceMax:2;Concat:2;Pad:2;ReduceSum:1;Max:1;TopK:1;Less:1;OneHot:1;Unsqueeze:1;Split:1;Transpose:1,"x1 = portrait(I) | x2 = branch(x1, dmirror, identity) | x3 = branch(x1, height, width) | x4 = x3(I) | x5 = astuple(ONE, x4) | x6 = x2(I) | x7 = crop(x6, ORIGIN, x5) | x8 = apply(dedupe, x7) | O = x2(x8)"
116,4c4377d9,30,21.598802618337846,1,baseline,Gather:1,"x1 = hmirror(I) | O = vconcat(x1, I)"
117,4c5c2cf0,4165,16.665528445399055,49,baseline,Sub:9;Slice:7;Concat:5;ReduceMax:4;Add:4;Cast:3;Xor:2;Where:2;ArgMax:2;Squeeze:2;Pad:2;Or:2;Transpose:1;And:1;QLinearConv:1;Equal:1;Unsqueeze:1,"x1 = objects(I, T, T, T) | x2 = objects(I, F, T, T) | x3 = first(x2) | x4 = rbind(subgrid, I) | x5 = fork(equality, identity, rot90) | x6 = compose(x5, x4) | x7 = extract(x1, x6) | x8 = center(x7) | x9 = subgrid(x3, I) | x10 = hmirror(x9) | x11 = objects(x10, F, T, T) | x12 = first(x11) | x13 = obje"
118,50846271,39237,14.422624541842739,47,baseline,Cast:7;Add:3;Einsum:3;Mul:3;Sub:3;ScatterElements:3;Slice:2;QLinearConv:2;Greater:2;Equal:2;And:2;Split:2;Concat:2;Gather:2;MaxPool:1;ReduceMax:1;GreaterOrEqual:1;ConvTranspose:1;GatherND:1;MatMul:1;Squeeze:1;Flatten:1;Reshape:1,"x1 = ofcolor(I, TWO) | x2 = prapply(connect, x1, x1) | x3 = lbind(greater, SIX) | x4 = compose(x3, size) | x5 = fork(either, vline, hline) | x6 = fork(both, x4, x5) | x7 = mfilter(x2, x6) | x8 = fill(I, TWO, x7) | x9 = objects(x8, T, F, F) | x10 = colorfilter(x9, TWO) | x11 = valmax(x10, width) | x1"
119,508bd3b6,1365,17.781090292380938,55,baseline,Cast:12;Where:8;Sub:6;Slice:4;ArgMax:4;Concat:4;ReduceMax:3;Gather:2;Or:2;Add:2;Reshape:2;ReduceSum:1;Mul:1;GatherND:1;Abs:1;Not:1;ScatterND:1,"x1 = width(I) | x2 = objects(I, T, T, T) | x3 = argmin(x2, size) | x4 = argmax(x2, size) | x5 = ulcorner(x3) | x6 = urcorner(x3) | x7 = index(I, x5) | x8 = equality(x7, EIGHT) | x9 = branch(x8, x5, x6) | x10 = branch(x8, UNITY, DOWN_LEFT) | x11 = multiply(x10, x1) | x12 = double(x11) | x13 = add(x9,"
120,50cb2852,910,18.186555400489105,1,baseline,Conv:1,"x1 = objects(I, T, F, T) | x2 = compose(backdrop, inbox) | x3 = mapply(x2, x1) | O = fill(I, EIGHT, x3)"
121,5117e062,341,19.168117522716482,26,baseline,Cast:7;Concat:4;Add:4;Gather:3;Einsum:2;Slice:2;And:1;Squeeze:1;Where:1;Pad:1,"x1 = objects(I, F, T, T) | x2 = matcher(numcolors, TWO) | x3 = extract(x1, x2) | x4 = subgrid(x3, I) | x5 = mostcolor(x3) | O = replace(x4, EIGHT, x5)"
122,5168d44c,810,18.302965752333517,1,baseline,Conv:1,"x1 = ofcolor(I, THREE) | x2 = height(x1) | x3 = equality(x2, ONE) | x4 = branch(x3, ZERO_BY_TWO, TWO_BY_ZERO) | x5 = ofcolor(I, TWO) | x6 = recolor(TWO, x5) | O = move(I, x6, x4)"
123,539a4f51,1343,17.797338803476762,12,baseline,Gather:3;Cast:2;Slice:1;Einsum:1;Squeeze:1;Where:1;Mod:1;Concat:1;Equal:1,"x1 = shape(I) | x2 = index(I, ORIGIN) | x3 = colorcount(I, ZERO) | x4 = decrement(x1) | x5 = positive(x3) | x6 = branch(x5, x4, x1) | x7 = crop(I, ORIGIN, x6) | x8 = width(x7) | x9 = astuple(ONE, x8) | x10 = crop(x7, ORIGIN, x9) | x11 = vupscale(x10, x8) | x12 = dmirror(x11) | x13 = hconcat(x7, x11)"
